Analysis Report of WFO Plant Samples 2025-2026,,,,,,,,,,,,,
Analysis Date ,Analysis  Time,Sample Detail,Material,Naphth. % by GC,Thianaphth. %,Quinoline in ppm,Unknown Impurity%,SpGr,Analysed Temp OC,SpGr at 15.56OC,Mois. %,IBPOC,FBPOC
10.08.25,12.30AM,C-03-T,NO,85.78,3.75,2056,4.25,,,,,,
10.08.25,12.30AM,C-02-T,LCO,12.45,,,,0.983,36,0.995,,,
10.08.25,12.30AM,C-03-B,WO-270OC,0.03,,,,1.032,32,1.042,,236,272
10.08.25,12.30AM,C-01-B,ATO,0.01,,,,1.094,74,1.129,,274,360
10.08.25,06.40AM,C-03-T,NO,84.61,4.61,2832,4.62,,,,,,
10.08.25,06.40AM,C-02-T,LCO,16.41,,,,0.986,38,0.999,,,
10.08.25,06.40AM,C-03-B,WO-270OC,0.02,,,,,,,,,
10.08.25,06.40AM,C-01-B,ATO,0.10,,,,,,,,,
10.08.25,08.45AM,P-01,WFO,58.20,2.74,19046,2.33,1.020,54,1.043,0.2,94,346
10.08.25,02.50PM,C-03-T,NO,86.26,4.05,1334,4.42,,,,,,
10.08.25,02.50PM,C-03-B,WO-270OC,0.03,,,,1.027,45,1.045,,234,260
10.08.25,02.50PM,C-01-B,ATO,0.07,,,,1.100,68,1.131,,296,360
10.08.25,05.30PM,P-01,WFO,58.56,2.43,18707,2.34,,,,,,
10.08.25,07.15PM,C-03-T,NO,91.40,2.95,1330,2.59,,,,,,
10.08.25,07.15PM,C-02-T,LCO,9.00,,,,0.983,39,0.997,,,
11.08.25,12.20AM,C-03-T,NO,89.53,3.54,1150,3.19,,,,,,
11.08.25,12.20AM,C-02-T,LCO,13.55,,,,0.989,34,1.000,,,
11.08.25,12.20AM,C-03-B,WO-270OC,0.08,,,,1.030,43,1.046,,236,266
11.08.25,12.20AM,C-01-B,ATO,0.03,,,,1.102,66,1.132,,280,360
11.08.25,06.10AM,C-03-T,NO,89.25,3.46,1510,2.68,,,,,,
11.08.25,06.10AM,C-02-T,LCO,13.54,,,,0.992,34,1.003,2.0,,
11.08.25,06.10AM,C-03-B,WO-270OC,0.06,,,,,,,,,
11.08.25,06.10AM,C-01-B,ATO,0.05,,,,1.088,78,1.125,,259,282
11.08.25,08.35AM,P-01,WFO,56.20,2.13,16425,1.98,1.026,50,1.047,0.2,104,360
11.08.25,11.30AM,C-02-T,LCO,13.58,,,,0.988,33,0.998,2.6,,
11.08.25,12.20PM,C-03-B,WO-270OC,0.16,,,,1.031,37,1.044,,236,266
11.08.25,06.00PM,C-03-T,NO,89.03,3.19,1157,3.11,,,,,,
11.08.25,06.00PM,C-03-B,WO-270OC,0.09,,,,,,,,,
11.08.25,06.00PM,P-01,WFO,56.06,1.99,18695,2.07,,,,,,
12.08.25,12.40AM,C-03-T,NO,87.55,3.62,1665,3.06,,,,,,
12.08.25,12.40AM,C-02-T,LCO,14.09,,,,0.988,33,0.998,,,
12.08.25,12.40AM,C-03-B,WO-270OC,0.07,,,,1.034,35,1.046,,236,264
12.08.25,12.40AM,C-01-B,ATO,0.17,,,,1.092,72,1.126,,280,360
12.08.25,06.40AM,C-03-T,NO,87.80,3.97,1444,3.32,,,,,,
12.08.25,06.40AM,C-02-T,LCO,12.97,,,,0.985,37,0.998,0.3,,
12.08.25,06.40AM,C-03-B,WO-270OC,0.04,,,,1.033,37,1.046,,236,266
12.08.25,06.40AM,C-01-B,ATO,0.07,,,,,,,,,
12.08.25,09.00AM,P-01,WFO,52.72,1.92,16538,1.76,1.035,41,1.050,0.2,186,338
12.08.25,12.00PM,C-02-T,LCO,12.39,,,,0.989,39,1.003,1.5,,
12.08.25,01.00PM,C-03-T,NO,88.59,3.87,1657,2.81,,,,,,
12.08.25,01.00PM,C-02-T,LCO,19.38,,,,0.987,32,0.997,,,
12.08.25,01.00PM,C-03-B,WO-270OC,0.06,,,,1.034,37,1.047,,226,274
12.08.25,01.00PM,C-01-B,ATO,0.12,,,,1.090,74,1.125,,262,360
12.08.25,06.00PM,P-01,WFO,51.85,2.17,16216,1.73,,,,,,
12.08.25,07.15PM,C-03-T,NO,89.38,3.16,1315,2.50,,,,,,
12.08.25,07.15PM,C-03-B,WO-270OC,0.06,,,,,,,,,
13.08.25,12.30AM,C-03-T,NO,88.30,3.64,1232,3.18,,,,,,
13.08.25,12.30AM,C-02-T,LCO,0.92,,,,0.964,43,0.980,2.4,,
13.08.25,12.30AM,C-03-B,WO-270OC,0.08,,,,1.032,40,1.047,,234,276
13.08.25,12.30AM,C-01-B,ATO,0.11,,,,1.088,80,1.127,,274,360
13.08.25,06.40AM,C-03-T,NO,87.95,4.13,1978,3.23,,,,,,
13.08.25,06.40AM,C-02-T,LCO,12.14,,,,0.988,35,1.000,0.2,,
13.08.25,06.40AM,C-03-B,WO-270OC,0.04,,,,1.041,34,1.052,,236,274
13.08.25,06.40AM,C-01-B,ATO,0.29,,,,1.084,75,1.120,,266,360
13.08.25,09.00AM,P-01,WFO,52.12,1.80,17360,1.82,1.038,39,1.052,,100,354
13.08.25,11.20AM,C-03-T,NO,89.46,3.86,1439,2.77,,,,,,
13.08.25,11.20AM,C-02-T,LCO,16.64,,,,0.986,30,0.995,,,
13.08.25,11.30AM,C-01-B,ATO,0.12,,,,1.080,90,1.125,,270,360
13.08.25,12.30AM,C-03-B,WO-270OC,0.04,,,,1.040,33,1.050,,238,274
13.08.25,05.20PM,C-03-T,NO,90.52,3.10,1067,2.82,,,,,,
13.08.25,05.20PM,C-02-T,LCO,13.02,,,,0.981,43,0.997,0.3,,
14.08.25,01.40AM,C-03-T,NO,88.25,3.83,1475,3.05,,,,,,
14.08.25,01.40AM,C-03-B,WO-270OC,0.02,,,,1.040,30,1.049,,238,268
14.08.25,01.40AM,C-01-B,ATO,0.10,,,,1.086,82,1.126,,274,360
14.08.25,02.30AM,C-02-T,LCO,10.59,,,,0.980,40,0.995,,,
14.08.25,04.30AM,C-02-T,LCO,14.17,,,,0.985,33,0.995,0.2,,
14.08.25,07.30AM,C-03-T,NO,91.00,2.96,835,2.71,,,,,,
14.08.25,07.30AM,C-02-T,LCO,12.25,,,,0.980,43,0.996,,,
14.08.25,07.30AM,C-03-B,WO-270OC,0.10,,,,1.033,40,1.048,,240,276
14.08.25,07.30AM,C-01-B,ATO,0.04,,,,1.084,86,1.126,,254,360
13.08.25,06.30PM,P-01,WFO,51.46,1.92,16829,1.56,,,,,,
14.08.25,09.00AM,P-01,WFO,50.64,1.83,17694,1.87,1.036,35,1.048,,98,342
14.08.25,11.55AM,C-03-T,NO,90.01,3.03,867,3.18,,,,,,
14.08.25,11.55AM,C-02-T,LCO,14.02,,,,0.984,40,0.999,,,
14.08.25,01.00PM,C-03-B,WO-270OC,0.15,,,,1.040,34,1.051,,236,274
14.08.25,01.00PM,C-01-B,ATO,0.09,,,,1.080,86,1.122,,262,360
14.08.25,05.10PM,P-01,WFO,52.12,1.97,16182,1.79,,,,,,
14.08.25,06.10PM,C-03-B,WO-270OC,0.17,,,,1.047,35,1.059,,238,284
14.08.25,06.10PM,C-01-B,ATO,0.22,,,,,,,,,
14.08.25,06.10PM,C-03-T,NO,91.10,3.04,611,2.86,,,,,,
14.08.25,06.10PM,C-02-T,LCO,14.75,,,,0.980,39,0.994,,,
15.08.25,01.40AM,C-03-T,NO,88.90,3.77,1254,3.48,,,,,,
15.08.25,01.40AM,C-02-T,LCO,13.55,,,,0.975,40,0.990,,,
15.08.25,01.40AM,C-03-B,WO-300OC,0.12,,,,1.037,37,1.050,,238,280
15.08.25,01.40AM,C-01-B,ATO,0.13,,,,1.086,78,1.123,,270,360
15.08.25,06.20AM,C-03-T,NO,88.89,3.25,1188,3.24,,,,,,
15.08.25,06.20AM,C-02-T,LCO,13.60,,,,0.979,43,0.995,0.2,,
15.08.25,06.20AM,C-03-B,WO-300OC,0.13,,,,1.036,40,1.051,,236,276
15.08.25,06.20AM,C-01-B,ATO,0.15,,,,1.088,80,1.127,,274,360
15.08.25,11.00AM,P-01,WFO,51.50,2.01,15957,1.57,,,,,,
15.08.25,11.15AM,C-03-T,NO,89.15,3.35,1257,3.03,,,,,,
15.08.25,11.15AM,C-02-T,LCO,12.21,,,,0.980,43,0.996,0.6,,
15.08.25,01.00PM,C-03-B,WO-300OC,0.23,,,,1.044,35,1.056,,238,276
15.08.25,01.00PM,C-01-B,ATO,0.44,,,,,,,,,
15.08.25,06.00PM,C-03-T,NO,89.64,3.56,1387,2.69,,,,,,
15.08.25,06.00PM,C-02-T,LCO,12.01,,,,0.979,42,0.995,,,
15.08.25,06.00PM,C-03-B,WO-300OC,0.06,,,,1.035,46,1.047,,238,290
15.08.25,06.00PM,C-01-B,ATO,0.09,,,,,,,,,
15.08.25,07.00PM,P-01,WFO,48.85,1.57,16240,1.55,,,,,,
16.08.25,12.30AM,C-03-T,NO,89.90,3.18,1175,2.53,,,,,,
16.08.25,12.30AM,C-02-T,LCO,13.40,,,,0.991,31,1.000,,,
16.08.25,12.30AM,C-03-B,WO-300OC,0.04,,,,1.044,37,1.057,,238,288
16.08.25,12.30AM,C-01-B,ATO,0.05,,,,1.090,75,1.126,,276,360
16.08.25,06.20AM,C-03-T,NO,90.17,3.44,1068,2.76,,,,,,
16.08.25,06.20AM,C-02-T,LCO,16.08,,,,0.986,34,0.997,,,
16.08.25,06.20AM,C-03-B,WO-300OC,0.04,,,,1.045,36,1.057,,240,282
16.08.25,06.20AM,C-01-B,ATO,0.04,,,,1.092,76,1.128,,274,360
16.08.25,09.00AM,P-01,WFO,52.06,1.78,16102,1.57,1.039,34,1.050,0.2,98,328
16.08.25,12.05PM,C-03-T,NO,89.18,3.40,1127,3.01,,,,,,
16.08.25,12.05PM,C-02-T,LCO,11.24,,,,0.990,30,0.999,,,
16.08.25,1.00PM,C-03-B,WO-300OC,0.01,,,,1.050,35,1.062,,238,290
16.08.25,1.00PM,C-01-B,ATO,0.13,,,,1.090,73,1.127,,266,360
16.08.25,6.30PM,P-01,WFO,51.76,2.09,16118,1.68,,,,,,
16.08.25,7.10PM,C-03-T,NO,89.69,3.47,1943,2.94,,,,,,
16.08.25,7.10PM,C-02-T,LCO,10.44,,,,0.988,31,0.997,,,
16.08.25,7.10PM,C-03-B,WO-300OC,0.02,,,,,,,,,
16.08.25,7.10PM,C-01-B,ATO,0.05,,,,,,,,,
17.08.25,2.30AM,C-03-T,NO,88.76,3.38,1122,3.00,,,,,,
17.08.25,2.30AM,C-02-T,LCO,13.19,,,,0.988,30,0.997,0.3,,
17.08.25,2.30AM,C-03-B,WO-300OC,0.05,,,,1.046,35,1.058,,236,294
17.08.25,2.30AM,C-01-B,ATO,0.10,,,,1.088,79,1.126,,272,360
17.08.25,7.30AM,C-03-T,NO,83.51,3.93,15476,3.87,,,,,,
17.08.25,7.30AM,C-02-T,LCO,12.08,,,,0.988,30,0.997,,,
17.08.25,7.30AM,C-03-B,WO-300OC,0.05,,,,1.045,31,1.054,,240,284
17.08.25,7.30AM,C-01-B,ATO,0.04,,,,1.092,75,1.128,,274,360
17.08.25,11.30AM,P-01,WFO,45.81,1.86,15707,1.50,1.028,50,1.059,,104,340
17.08.25,12.30PM,C-03-T,NO,91.96,3.02,467,2.46,,,,,,
17.08.25,12.30PM,C-02-T,LCO,13.00,,,,0.987,32,0.997,,,
17.08.25,1.00PM,C-03-B,WO-300OC,0.19,,,,1.041,37,1.054,,236,290
17.08.25,1.00PM,C-01-B,ATO,0.02,,,,1.090,76,1.126,,278,360
17.08.25,6.40PM,P-01,WFO,51.87,1.95,17000,1.57,,,,,,
17.08.25,7.00PM,C-03-T,NO,90.30,3.29,1265,2.71,,,,,,
17.08.25,7.00PM,C-02-T,LCO,12.07,,,,0.987,30,0.996,,,
17.08.25,7.00PM,C-03-B,WO-300OC,0.10,,,,,,,,,
17.08.25,7.00PM,C-01-B,ATO,0.01,,,,,,,,,
18.08.25,1.05AM,C-03-T,NO,89.26,3.37,1133,3.06,,,,,,
18.08.25,1.05AM,C-02-T,LCO,11.46,,,,0.990,30,0.999,,,
18.08.25,1.05AM,C-03-B,WO-300OC,0.19,,,,1.046,32,1.056,,238,296
18.08.25,1.05AM,C-01-B,ATO,0.02,,,,1.084,84,1.125,,274,360
18.08.25,6.50AM,C-03-T,NO,86.56,3.50,1382,4.00,,,,,,
18.08.25,6.50AM,C-02-T,LCO,12.75,,,,0.989,32,0.999,,,
18.08.25,6.50AM,C-03-B,WO-300OC,0.28,,,,1.037,42,1.053,,240,294
18.08.25,6.50AM,C-01-B,ATO,0.34,,,,,,,,,
18.08.25,8.40AM,P-01,WFO,49.81,1.69,16433,1.57,1.033,44,1.050,,102,348
18.08.25,12.30PM,C-03-T,NO,89.89,3.41,1103,2.83,,,,,,
18.08.25,12.30PM,C-02-T,LCO,11.79,,,,0.988,33,0.998,,,
18.08.25,12.30PM,C-03-B,WO-300OC,0.36,,,,1.045,33,1.055,,238,284
18.08.25,12.30PM,C-01-B,ATO,0.01,,,,1.086,84,1.127,,286,360
18.08.25,06.20PM,P-01,WFO,55.51,1.99,16724,1.77,,,,,,
18.08.25,07.10PM,C-03-T,NO,89.72,3.34,1386,2.77,,,,,,
18.08.25,07.10PM,C-02-T,LCO,14.04,,,,0.985,32,0.995,,,
18.08.25,07.10PM,C-03-B,WO-300OC,0.01,,,,,,,,,
18.08.25,07.10PM,C-01-B,ATO,0.00,,,,,,,,,
18.08.25,11.30PM,C-03-T,NO,88.23,3.60,1381,3.44,,,,,,
18.08.25,11.30PM,C-02-T,LCO,11.75,,,,0.988,35,1.000,,,
18.08.25,11.30PM,C-03-B,WO-300OC,0.09,,,,1.044,33,1.054,,238,284
18.08.25,11.30PM,C-01-B,ATO,0.01,,,,1.090,76,1.126,,280,360
19.08.25,07.00AM,C-03-T,NO,88.55,3.10,1080,3.46,,,,,,
19.08.25,07.00AM,C-02-T,LCO,10.62,,,,0.983,36,0.995,,,
19.08.25,07.00AM,C-03-B,WO-300OC,0.12,,,,,,,,,
19.08.25,07.00AM,C-01-B,ATO,0.00,,,,,,,,,
19.08.25,09.00AM,P-01,WFO,47.97,1.25,16521,0.84,1.034,45,1.052,,100,354
19.08.25,12.30PM,C-03-T,NO,88.23,3.39,1659,3.30,,,,,,
19.08.25,12.30PM,C-02-T,LCO,11.15,,,,0.983,45,1.001,,,
19.08.25,12.30PM,C-03-B,WO-300OC,0.04,,,,1.043,36,1.055,,238,286
19.08.25,12.30PM,C-01-B,ATO,0.17,,,,1.092,78,1.129,,274,360
19.08.25,05.35PM,P-01,WFO,55.13,1.86,15886,1.57,,,,,,
19.08.25,06.30PM,C-03-T,NO,89.07,2.82,6697,2.32,,,,,,
19.08.25,06.30PM,C-02-T,LCO,10.68,,,,0.986,30,0.995,,,
19.08.25,06.30PM,C-03-B,WO-300OC,0.03,,,,,,,,,
19.08.25,06.30PM,C-01-B,ATO,0.01,,,,,,,,,
19.08.25,11.40PM,C-03-T,NO,90.67,2.86,1757,2.44,,,,,,
19.08.25,11.40PM,C-02-T,LCO,11.55,,,,0.994,34,1.005,,,
19.08.25,11.40PM,C-03-B,WO-300OC,0.01,,,,1.046,33,1.056,,238,290
19.08.25,11.40PM,C-01-B,ATO,0.04,,,,1.090,79,1.128,,272,360
20.08.25,06.50AM,C-03-T,NO,90.34,3.13,690,2.80,,,,,,
20.08.25,06.50AM,C-02-T,LCO,14.14,,,,0.990,35,1.002,,,
20.08.25,06.50AM,C-03-B,WO-300OC,0.93,,,,,,,,,
20.08.25,06.50AM,C-01-B,ATO,0.01,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
